species,catnum,sex,Latitude,Longitude
Clonophis_kirtlandii,AMNH_R161969,F,39.7605,-85.9206
Clonophis_kirtlandii,AMNH_R122397,M,41.679,-83.3581
Liodytes_alleni,AMNH_R124101,F,29.1605,-81.421
Liodytes_alleni,AMNH_R159307,M,27.6853,-80.7065
Liodytes_rigida,AMNH_R160212,F,29.5266,-90.9165
Liodytes_rigida,AMNH_R159322,M,29.5266,-90.9165
Nerodia_clarkii,AMNH_R91337,F,27.8414,-82.5994
Nerodia_clarkii,AMNH_R63887,M,27.8414,-82.5994
Nerodia_cyclopion,AMNH_R158897,F,29.9691,-91.6488
Nerodia_cyclopion,AMNH_R159218,M,29.5266,-90.9165
Nerodia_erythrogaster,AMNH_R71227,F,33.3005,-94.2693
Nerodia_erythrogaster,AMNH_R104781,M,29.8026,-90.2651
Nerodia_fasciata,AMNH_R126643,F,31.8918,-81.4937
Nerodia_fasciata,AMNH_R75806,M,34.4866,-77.7282
Nerodia_floridana,AMNH_R162251,F,28.6868,-81.9979
Nerodia_floridana,AMNH_R50913,M,25.849,-80.4266
Nerodia_paucimaculata,AMNH_R85544,F,31.9041,-100.5667
Nerodia_paucimaculata,AMNH_R85546,M,31.9041,-100.5667
Nerodia_rhombifer,AMNH_R159118,F,26.166,-99.8495
Nerodia_rhombifer,AMNH_R153724,M,32.8723,-87.983
Nerodia_sipedon,AMNH_R138312,F,35.1377,-84.5664
Nerodia_sipedon,AMNH_R73680,M,39.9606,-105.3596
Nerodia_taxispilota,AMNH_R112353,F,31.9346,-81.1775
Nerodia_taxispilota,AMNH_R112355,M,26.6794,-81.0021
Regina_grahamii,AMNH_R162317,F,38.5338,-89.0631
Regina_grahamii,AMNH_R116122,M,31.6725,-97.2059
Regina_septemvittata,AMNH_R101360,F,36.5558,-81.3183
Regina_septemvittata,AMNH_R136643,M,37.0109,-80.6762
Seminatrix_pygaea,AMNH_R160242,F,29.6948,-82.2247
Seminatrix_pygaea,AMNH_R160244,M,29.6948,-82.2247
Storeria_dekayi,AMNH_R128073,F,41.2982,-73.3527
Storeria_dekayi,AMNH_R117927,M,41.4205,-74.3371
Storeria_hidalgoensis,AMNH_R160326,F,27.7977,-101.8928
Storeria_hidalgoensis,AMNH_R160329,M,27.7977,-101.8928
Storeria_occipitomaculata,AMNH_R152230,F,42.7378,-78.6653
Storeria_occipitomaculata,AMNH_R151617,M,41.8244,-78.5538
Storeria_storerioides,AMNH_R97851,F,17.7518,-98.2896
Storeria_storerioides,AMNH_R103063,M,17.7518,-98.2896
Storeria_victa,AMNH_R87969,F,25.849,-80.4266
Storeria_victa,AMNH_R2335,M,28.3255,-82.4122
Thamnophis_atratus,AMNH_R171038,F,38.0949,-122.7163
Thamnophis_atratus,AMNH_R162404,M,38.0949,-122.7163
Thamnophis_bogerti,AMNH_R97872,F,16.1853,-96.4478
Thamnophis_bogerti,AMNH_R100921,M,16.1853,-96.4478
Thamnophis_brachystoma,AMNH_R105887,F,42.0386,-79.9939
Thamnophis_brachystoma,AMNH_R152233,M,42.7378,-78.6653
Thamnophis_butleri,AMNH_R162407,F,42.2457,-83.8278
Thamnophis_butleri,AMNH_R162408,M,40.492,-86.0764
Thamnophis_chrysocephalus,AMNH_R106988,F,16.9872,-97.6205
Thamnophis_chrysocephalus,AMNH_R97871,M,17.0348,-97.9253
Thamnophis_conanti,LSUMZ_H75985,F,18.6913,-97.3407
Thamnophis_conanti,LSUMZ_H24575,M,19.1074,-103.1439
Thamnophis_couchii,CAS_220885,F,36.1875,-118.6702
Thamnophis_couchii,CAS_212849,M,35.9026,-118.6407
Thamnophis_cyrtopsis,AMNH_R67318,F,27.7977,-101.8928
Thamnophis_cyrtopsis,AMNH_R89598,M,26.018,-99.9154
Thamnophis_elegans,AMNH_R162414,F,35.6964,-106.8339
Thamnophis_elegans,AMNH_R115855,M,40.0977,-105.3784
Thamnophis_eques,AMNH_R87322,F,31.9839,-109.7379
Thamnophis_eques,AMNH_R148840,M,20.4334,-103.8563
Thamnophis_exsul,CAS_218284,F,23.84,-99.89
Thamnophis_exsul,LSUMZ_H43836,M,23.7496,-99.972
Thamnophis_foxi,LSUMZ_H40793,M,23.8006,-105.3846
Thamnophis_foxi,LSUMZ_H73561,F,23.8006,-105.3846
Thamnophis_fulvus,CAS_66997,F,14.5247,-90.798
Thamnophis_fulvus,CAS_66986,M,14.5247,-90.798
Thamnophis_gigas,CAS_178601,F,38.3252,-121.3271
Thamnophis_gigas,CAS_210468,M,39.4636,-122.1453
Thamnophis_godmani,AMNH_R118067,F,18.9708,-98.1142
Thamnophis_godmani,AMNH_R72502,M,17.6249,-99.9261
Thamnophis_hammondii,AMNH_R82010,F,33.6739,-116.6355
Thamnophis_hammondii,AMNH_R9153,M,34.2413,-118.0842
Thamnophis_lineri,AMNH_R103085,F,16.8161,-97.6394
Thamnophis_lineri,AMNH_R91101,M,16.8161,-97.6394
Thamnophis_marcianus,AMNH_R109456,F,31.9839,-109.7379
Thamnophis_marcianus,AMNH_R85027,M,31.9839,-109.7379
Thamnophis_melanogaster,AMNH_R19492,F,19.6301,-99.9217
Thamnophis_melanogaster,AMNH_R85168,M,19.4624,-101.1212
Thamnophis_nigronuchalis,LSUMZ_H16454,F,23.7801,-105.3945
Thamnophis_nigronuchalis,LSUMZ_H40832,M,23.7801,-105.3945
Thamnophis_ordinoides,AMNH_R162426,F,41.9709,-123.9752
Thamnophis_ordinoides,AMNH_R123297,M,44.5623,-123.4436
Thamnophis_proximus,AMNH_R178781,F,30.5839,-91.0866
Thamnophis_proximus,AMNH_R171673,M,29.9843,-101.0474
Thamnophis_pulchrilatus,AMNH_R102523,F,20.4334,-103.8563
Thamnophis_pulchrilatus,AMNH_R147892,M,23.8232,-104.599
Thamnophis_radix,AMNH_R64608,F,45.7954,-94.5604
Thamnophis_radix,AMNH_R68711,M,39.1556,-105.047
Thamnophis_rufipunctatus,AMNH_R88717,F,23.8232,-104.599
Thamnophis_rufipunctatus,AMNH_R88718,M,23.8232,-104.599
Thamnophis_sauritus,AMNH_R176211,F,41.8682,-72.7326
Thamnophis_sauritus,AMNH_R154403,M,41.8422,-71.9873
Thamnophis_scalaris,AMNH_R75934,F,19.4195,-99.1885
Thamnophis_scalaris,AMNH_R162446,M,19.3935,-98.215
Thamnophis_scaliger,AMNH_R91595,F,19.6196,-99.9383
Thamnophis_scaliger,AMNH_R88724,M,19.4624,-101.1212
Thamnophis_sirtalis_East,AMNH_R110791,F,31.8918,-81.4937
Thamnophis_sirtalis_East,AMNH_R130639,M,41.2899,-73.3254
Thamnophis_sirtalis_FL,AMNH_R162457,F,25.849,-80.4266
Thamnophis_sirtalis_FL,AMNH_R128670,M,29.8957,-81.4372
Thamnophis_sirtalis_West,AMNH_R32479,F,47.3509,-123.2304
Thamnophis_sirtalis_West,AMNH_R22428,M,47.3509,-123.2304
Thamnophis_sumichrasti,AMNH_R93131,F,18.9708,-98.1142
Thamnophis_sumichrasti,AMNH_R88808,M,18.9708,-98.1142
Thamnophis_validus,AMNH_R94613,F,21.8805,-105.351
Thamnophis_validus,AMNH_R84077,M,28.0825,-111.0638
Tropidoclonion_lineatum,AMNH_R162471,F,40.874,-99.0624
Tropidoclonion_lineatum,AMNH_R160633,M,35.5873,-104.579
Virginia_striatula,AMNH_R160642,F,29.7153,-91.4243
Virginia_striatula,AMNH_R171761,M,28.2558,-96.8917
Virginia_valeriae,AMNH_R162480,F,40.0808,-86.8794
Virginia_valeriae,AMNH_R72462,M,39.5679,-75.9058
